"date","pm10","pm25","so2","o3","co","no2"
2014-12-01 00:00:00,9,NA,3,43,400,3
2014-12-01 00:15:00,9,NA,3,43,400,3
2014-12-01 00:30:00,9,NA,3,43,400,3
2014-12-01 00:45:00,9,NA,3,43,400,3
2014-12-01 01:00:00,11,NA,3,41,500,5
2014-12-01 01:15:00,11,NA,3,41,500,5
2014-12-01 01:30:00,11,NA,3,41,500,5
2014-12-01 01:45:00,11,NA,3,41,500,5
2014-12-01 02:00:00,19,NA,5,32,800,6
2014-12-01 02:15:00,19,NA,5,32,800,6
2014-12-01 02:30:00,19,NA,5,32,800,6
2014-12-01 02:45:00,19,NA,5,32,800,6
2014-12-01 03:00:00,17,NA,6,32,700,5
2014-12-01 03:15:00,17,NA,6,32,700,5
2014-12-01 03:30:00,17,NA,6,32,700,5
2014-12-01 03:45:00,17,NA,6,32,700,5
2014-12-01 04:00:00,27,NA,5,34,600,4
2014-12-01 04:15:00,27,NA,5,34,600,4
2014-12-01 04:30:00,27,NA,5,34,600,4
2014-12-01 04:45:00,27,NA,5,34,600,4
2014-12-01 05:00:00,37,NA,5,38,500,4
2014-12-01 05:15:00,37,NA,5,38,500,4
2014-12-01 05:30:00,37,NA,5,38,500,4
2014-12-01 05:45:00,37,NA,5,38,500,4
2014-12-01 06:00:00,41,NA,4,38,400,4
2014-12-01 06:15:00,41,NA,4,38,400,4
2014-12-01 06:30:00,41,NA,4,38,400,4
2014-12-01 06:45:00,41,NA,4,38,400,4
2014-12-01 07:00:00,35,NA,4,34,400,6
2014-12-01 07:15:00,35,NA,4,34,400,6
2014-12-01 07:30:00,35,NA,4,34,400,6
2014-12-01 07:45:00,35,NA,4,34,400,6
2014-12-01 08:00:00,37,NA,4,32,400,7
2014-12-01 08:15:00,37,NA,4,32,400,7
2014-12-01 08:30:00,37,NA,4,32,400,7
2014-12-01 08:45:00,37,NA,4,32,400,7
2014-12-01 09:00:00,15,NA,4,33,500,7
2014-12-01 09:15:00,15,NA,4,33,500,7
2014-12-01 09:30:00,15,NA,4,33,500,7
2014-12-01 09:45:00,15,NA,4,33,500,7
2014-12-01 10:00:00,57,NA,4,37,400,6
2014-12-01 10:15:00,57,NA,4,37,400,6
2014-12-01 10:30:00,57,NA,4,37,400,6
2014-12-01 10:45:00,57,NA,4,37,400,6
2014-12-01 11:00:00,97,NA,4,41,400,5
2014-12-01 11:15:00,97,NA,4,41,400,5
2014-12-01 11:30:00,97,NA,4,41,400,5
2014-12-01 11:45:00,97,NA,4,41,400,5
2014-12-01 12:00:00,101,NA,3,36,300,5
2014-12-01 12:15:00,101,NA,3,36,300,5
2014-12-01 12:30:00,101,NA,3,36,300,5
2014-12-01 12:45:00,101,NA,3,36,300,5
2014-12-01 13:00:00,75,NA,3,31,400,3
2014-12-01 13:15:00,75,NA,3,31,400,3
2014-12-01 13:30:00,75,NA,3,31,400,3
2014-12-01 13:45:00,75,NA,3,31,400,3
2014-12-01 14:00:00,13,NA,3,34,400,3
2014-12-01 14:15:00,13,NA,3,34,400,3
2014-12-01 14:30:00,13,NA,3,34,400,3
2014-12-01 14:45:00,13,NA,3,34,400,3
2014-12-01 15:00:00,59,NA,4,38,400,3
2014-12-01 15:15:00,59,NA,4,38,400,3
2014-12-01 15:30:00,59,NA,4,38,400,3
2014-12-01 15:45:00,59,NA,4,38,400,3
2014-12-01 16:00:00,69,NA,4,37,400,4
2014-12-01 16:15:00,69,NA,4,37,400,4
2014-12-01 16:30:00,69,NA,4,37,400,4
2014-12-01 16:45:00,69,NA,4,37,400,4
2014-12-01 17:00:00,51,NA,3,34,400,4
2014-12-01 17:15:00,51,NA,3,34,400,4
2014-12-01 17:30:00,51,NA,3,34,400,4
2014-12-01 17:45:00,51,NA,3,34,400,4
2014-12-01 18:00:00,33,NA,3,34,400,5
2014-12-01 18:15:00,33,NA,3,34,400,5
2014-12-01 18:30:00,33,NA,3,34,400,5
2014-12-01 18:45:00,33,NA,3,34,400,5
2014-12-01 19:00:00,37,NA,3,35,400,5
2014-12-01 19:15:00,37,NA,3,35,400,5
2014-12-01 19:30:00,37,NA,3,35,400,5
2014-12-01 19:45:00,37,NA,3,35,400,5
2014-12-01 20:00:00,27,NA,3,37,400,4
2014-12-01 20:15:00,27,NA,3,37,400,4
2014-12-01 20:30:00,27,NA,3,37,400,4
2014-12-01 20:45:00,27,NA,3,37,400,4
2014-12-01 21:00:00,31,NA,3,36,400,5
2014-12-01 21:15:00,31,NA,3,36,400,5
2014-12-01 21:30:00,31,NA,3,36,400,5
2014-12-01 21:45:00,31,NA,3,36,400,5
2014-12-01 22:00:00,29,NA,3,34,400,6
2014-12-01 22:15:00,29,NA,3,34,400,6
2014-12-01 22:30:00,29,NA,3,34,400,6
2014-12-01 22:45:00,29,NA,3,34,400,6
2014-12-01 23:00:00,21,NA,3,38,400,2
2014-12-01 23:15:00,21,NA,3,38,400,2
2014-12-01 23:30:00,21,NA,3,38,400,2
2014-12-01 23:45:00,21,NA,3,38,400,2
2014-12-02 00:00:00,19,NA,3,37,400,2
2014-12-02 00:15:00,19,NA,3,37,400,2
2014-12-02 00:30:00,19,NA,3,37,400,2
2014-12-02 00:45:00,19,NA,3,37,400,2
2014-12-02 01:00:00,23,NA,3,34,400,3
2014-12-02 01:15:00,23,NA,3,34,400,3
2014-12-02 01:30:00,23,NA,3,34,400,3
2014-12-02 01:45:00,23,NA,3,34,400,3
2014-12-02 02:00:00,15,NA,3,33,400,2
2014-12-02 02:15:00,15,NA,3,33,400,2
2014-12-02 02:30:00,15,NA,3,33,400,2
2014-12-02 02:45:00,15,NA,3,33,400,2
2014-12-02 03:00:00,17,NA,3,32,400,3
2014-12-02 03:15:00,17,NA,3,32,400,3
2014-12-02 03:30:00,17,NA,3,32,400,3
2014-12-02 03:45:00,17,NA,3,32,400,3
2014-12-02 04:00:00,23,NA,3,30,400,4
2014-12-02 04:15:00,23,NA,3,30,400,4
2014-12-02 04:30:00,23,NA,3,30,400,4
2014-12-02 04:45:00,23,NA,3,30,400,4
2014-12-02 05:00:00,21,NA,3,30,400,4
2014-12-02 05:15:00,21,NA,3,30,400,4
2014-12-02 05:30:00,21,NA,3,30,400,4
2014-12-02 05:45:00,21,NA,3,30,400,4
2014-12-02 06:00:00,21,NA,3,29,400,4
2014-12-02 06:15:00,21,NA,3,29,400,4
2014-12-02 06:30:00,21,NA,3,29,400,4
2014-12-02 06:45:00,21,NA,3,29,400,4
2014-12-02 07:00:00,25,NA,3,28,400,6
2014-12-02 07:15:00,25,NA,3,28,400,6
2014-12-02 07:30:00,25,NA,3,28,400,6
2014-12-02 07:45:00,25,NA,3,28,400,6
2014-12-02 08:00:00,31,NA,4,27,300,7
2014-12-02 08:15:00,31,NA,4,27,300,7
2014-12-02 08:30:00,31,NA,4,27,300,7
2014-12-02 08:45:00,31,NA,4,27,300,7
2014-12-02 09:00:00,41,NA,3,28,400,7
2014-12-02 09:15:00,41,NA,3,28,400,7
2014-12-02 09:30:00,41,NA,3,28,400,7
2014-12-02 09:45:00,41,NA,3,28,400,7
2014-12-02 10:00:00,49,NA,4,31,400,5
2014-12-02 10:15:00,49,NA,4,31,400,5
2014-12-02 10:30:00,49,NA,4,31,400,5
2014-12-02 10:45:00,49,NA,4,31,400,5
2014-12-02 11:00:00,57,NA,4,31,400,4
2014-12-02 11:15:00,57,NA,4,31,400,4
2014-12-02 11:30:00,57,NA,4,31,400,4
2014-12-02 11:45:00,57,NA,4,31,400,4
2014-12-02 12:00:00,55,NA,4,32,400,5
2014-12-02 12:15:00,55,NA,4,32,400,5
2014-12-02 12:30:00,55,NA,4,32,400,5
2014-12-02 12:45:00,55,NA,4,32,400,5
2014-12-02 13:00:00,53,NA,4,33,400,5
2014-12-02 13:15:00,53,NA,4,33,400,5
2014-12-02 13:30:00,53,NA,4,33,400,5
2014-12-02 13:45:00,53,NA,4,33,400,5
2014-12-02 14:00:00,35,NA,4,33,400,5
2014-12-02 14:15:00,35,NA,4,33,400,5
2014-12-02 14:30:00,35,NA,4,33,400,5
2014-12-02 14:45:00,35,NA,4,33,400,5
2014-12-02 15:00:00,29,NA,4,30,400,6
2014-12-02 15:15:00,29,NA,4,30,400,6
2014-12-02 15:30:00,29,NA,4,30,400,6
2014-12-02 15:45:00,29,NA,4,30,400,6
2014-12-02 16:00:00,27,NA,4,29,400,7
2014-12-02 16:15:00,27,NA,4,29,400,7
2014-12-02 16:30:00,27,NA,4,29,400,7
2014-12-02 16:45:00,27,NA,4,29,400,7
2014-12-02 17:00:00,19,NA,4,28,400,10
2014-12-02 17:15:00,19,NA,4,28,400,10
2014-12-02 17:30:00,19,NA,4,28,400,10
2014-12-02 17:45:00,19,NA,4,28,400,10
2014-12-02 18:00:00,21,NA,4,26,400,11
2014-12-02 18:15:00,21,NA,4,26,400,11
2014-12-02 18:30:00,21,NA,4,26,400,11
2014-12-02 18:45:00,21,NA,4,26,400,11
2014-12-02 19:00:00,23,NA,4,28,400,9
2014-12-02 19:15:00,23,NA,4,28,400,9
2014-12-02 19:30:00,23,NA,4,28,400,9
2014-12-02 19:45:00,23,NA,4,28,400,9
2014-12-02 20:00:00,25,NA,4,30,400,7
2014-12-02 20:15:00,25,NA,4,30,400,7
2014-12-02 20:30:00,25,NA,4,30,400,7
2014-12-02 20:45:00,25,NA,4,30,400,7
2014-12-02 21:00:00,19,NA,4,22,400,13
2014-12-02 21:15:00,19,NA,4,22,400,13
2014-12-02 21:30:00,19,NA,4,22,400,13
2014-12-02 21:45:00,19,NA,4,22,400,13
2014-12-02 22:00:00,19,NA,3,17,400,15
2014-12-02 22:15:00,19,NA,3,17,400,15
2014-12-02 22:30:00,19,NA,3,17,400,15
2014-12-02 22:45:00,19,NA,3,17,400,15
2014-12-02 23:00:00,19,NA,4,21,400,11
