"date","pm10","pm25","o3","no2","co","so2"
2014-06-01 00:00:00,101,NA,50,4,200,4
2014-06-01 01:00:00,93,NA,44,3,200,3
2014-06-01 02:00:00,85,NA,39,3,200,3
2014-06-01 03:00:00,87,NA,30,3,200,3
2014-06-01 04:00:00,97,NA,33,1,200,3
2014-06-01 05:00:00,81,NA,32,2,200,3
2014-06-01 06:00:00,83,NA,32,3,200,3
2014-06-01 07:00:00,93,NA,32,3,200,3
2014-06-01 08:00:00,93,NA,39,3,200,3
2014-06-01 09:00:00,105,NA,42,4,200,4
2014-06-01 10:00:00,109,NA,55,2,200,3
2014-06-01 11:00:00,111,NA,66,2,200,4
2014-06-01 12:00:00,117,NA,74,4,200,4
2014-06-01 13:00:00,121,NA,80,2,200,4
2014-06-01 14:00:00,111,NA,84,4,200,4
2014-06-01 15:00:00,119,NA,84,9,300,5
2014-06-01 16:00:00,115,NA,69,11,200,5
2014-06-01 17:00:00,103,NA,62,6,200,6
2014-06-01 18:00:00,97,NA,62,4,200,21
2014-06-01 19:00:00,105,NA,45,15,200,13
2014-06-01 20:00:00,129,NA,30,18,300,5
2014-06-01 21:00:00,143,NA,33,8,200,4
2014-06-01 22:00:00,121,NA,38,5,200,6
2014-06-01 23:00:00,115,NA,42,2,200,8
2014-06-02 00:00:00,119,NA,38,1,200,6
2014-06-02 01:00:00,101,NA,35,2,200,7
2014-06-02 02:00:00,107,NA,37,1,200,7
2014-06-02 03:00:00,97,NA,41,1,200,8
2014-06-02 04:00:00,97,NA,47,1,200,9
2014-06-02 05:00:00,99,NA,46,2,200,10
2014-06-02 06:00:00,97,NA,48,5,200,14
2014-06-02 07:00:00,97,NA,45,8,400,17
2014-06-02 08:00:00,93,NA,37,14,400,11
2014-06-02 09:00:00,79,NA,32,11,300,9
2014-06-02 10:00:00,71,NA,21,18,300,8
2014-06-02 11:00:00,71,NA,42,9,300,5
2014-06-02 12:00:00,53,NA,56,2,100,4
2014-06-02 13:00:00,39,NA,NA,NA,NA,NA
2014-06-02 14:00:00,29,NA,NA,NA,NA,NA
2014-06-02 15:00:00,11,NA,64,1,100,3
2014-06-02 16:00:00,17,NA,64,1,100,3
2014-06-02 17:00:00,15,NA,62,1,100,5
2014-06-02 18:00:00,21,NA,59,2,200,7
2014-06-02 19:00:00,11,NA,62,1,100,4
2014-06-02 20:00:00,7,NA,63,1,100,4
2014-06-02 21:00:00,7,NA,61,1,100,4
2014-06-02 22:00:00,11,NA,60,1,100,4
2014-06-02 23:00:00,11,NA,57,1,100,4
2014-06-03 00:00:00,23,NA,56,2,100,4
2014-06-03 01:00:00,5,NA,55,2,100,3
2014-06-03 02:00:00,3,NA,54,1,100,5
2014-06-03 03:00:00,3,NA,52,2,100,4
2014-06-03 04:00:00,1,NA,51,1,100,4
2014-06-03 05:00:00,1,NA,48,1,100,4
2014-06-03 06:00:00,3,NA,44,1,100,5
2014-06-03 07:00:00,3,NA,42,3,200,6
2014-06-03 08:00:00,5,NA,41,6,200,5
2014-06-03 09:00:00,7,NA,42,5,200,4
2014-06-03 10:00:00,5,NA,48,3,100,4
2014-06-03 11:00:00,1,NA,49,2,100,4
2014-06-03 12:00:00,1,NA,50,2,100,4
2014-06-03 13:00:00,3,NA,49,2,100,4
2014-06-03 14:00:00,17,NA,46,4,200,4
2014-06-03 15:00:00,9,NA,45,5,200,5
2014-06-03 16:00:00,19,NA,43,5,200,4
2014-06-03 17:00:00,13,NA,38,9,100,3
2014-06-03 18:00:00,17,NA,35,11,100,3
2014-06-03 19:00:00,15,NA,36,8,200,3
2014-06-03 20:00:00,17,NA,35,7,200,3
2014-06-03 21:00:00,13,NA,39,5,200,3
2014-06-03 22:00:00,7,NA,37,4,200,3
2014-06-03 23:00:00,5,NA,41,4,200,3
2014-06-04 00:00:00,7,NA,42,2,200,3
2014-06-04 01:00:00,7,NA,40,2,200,3
2014-06-04 02:00:00,9,NA,41,2,200,3
2014-06-04 03:00:00,7,NA,39,2,200,3
2014-06-04 04:00:00,1,NA,38,3,200,3
2014-06-04 05:00:00,3,NA,37,3,200,3
2014-06-04 06:00:00,7,NA,36,4,200,3
2014-06-04 07:00:00,11,NA,34,6,200,3
2014-06-04 08:00:00,13,NA,37,5,200,3
2014-06-04 09:00:00,15,NA,42,5,200,3
2014-06-04 10:00:00,13,NA,45,5,200,4
2014-06-04 11:00:00,15,NA,44,5,200,4
2014-06-04 12:00:00,17,NA,47,5,200,4
2014-06-04 13:00:00,19,NA,45,5,300,4
2014-06-04 14:00:00,15,NA,47,5,300,4
2014-06-04 15:00:00,11,NA,47,6,300,4
2014-06-04 16:00:00,17,NA,47,5,300,4
2014-06-04 17:00:00,17,NA,49,4,300,3
2014-06-04 18:00:00,11,NA,53,1,NA,3
2014-06-04 19:00:00,17,NA,51,1,NA,3
2014-06-04 20:00:00,17,NA,49,1,NA,3
2014-06-04 21:00:00,15,NA,50,1,NA,3
2014-06-04 22:00:00,19,NA,46,1,NA,3
2014-06-04 23:00:00,21,NA,43,1,NA,3
2014-06-05 00:00:00,15,NA,40,1,NA,3
2014-06-05 01:00:00,21,NA,40,NA,100,3
2014-06-05 02:00:00,19,NA,39,1,100,3
2014-06-05 03:00:00,19,NA,39,1,NA,3
2014-06-05 04:00:00,13,NA,37,1,100,3
2014-06-05 05:00:00,19,NA,34,1,NA,3
2014-06-05 06:00:00,13,NA,34,2,100,3
2014-06-05 07:00:00,11,NA,36,3,100,3
2014-06-05 08:00:00,21,NA,47,1,100,3
2014-06-05 09:00:00,11,NA,52,1,100,3
2014-06-05 10:00:00,9,NA,55,1,100,3
2014-06-05 11:00:00,7,NA,54,1,100,3
2014-06-05 12:00:00,5,NA,54,1,100,3
2014-06-05 13:00:00,1,NA,54,1,100,3
2014-06-05 14:00:00,3,NA,50,NA,100,3
2014-06-05 15:00:00,5,NA,50,1,100,3
2014-06-05 16:00:00,5,NA,49,1,100,3
2014-06-05 17:00:00,5,NA,49,NA,100,3
2014-06-05 18:00:00,3,NA,44,4,100,3
2014-06-05 19:00:00,7,NA,40,6,100,3
2014-06-05 20:00:00,7,NA,43,1,100,3
2014-06-05 21:00:00,7,NA,43,NA,100,3
2014-06-05 22:00:00,9,NA,41,3,100,3
2014-06-05 23:00:00,19,NA,43,1,100,3
2014-06-06 00:00:00,3,NA,40,1,200,4
2014-06-06 01:00:00,7,NA,37,2,200,4
2014-06-06 02:00:00,17,NA,33,2,200,4
2014-06-06 03:00:00,13,NA,31,2,200,5
2014-06-06 04:00:00,17,NA,25,4,200,4
2014-06-06 05:00:00,21,NA,24,4,100,3
2014-06-06 06:00:00,21,NA,24,4,100,3
2014-06-06 07:00:00,27,NA,31,2,100,3
2014-06-06 08:00:00,29,NA,41,3,200,3
2014-06-06 09:00:00,21,NA,47,2,200,3
2014-06-06 10:00:00,19,NA,53,1,100,3
2014-06-06 11:00:00,17,NA,56,1,100,3
2014-06-06 12:00:00,19,NA,59,1,100,3
2014-06-06 13:00:00,17,NA,61,1,100,3
2014-06-06 14:00:00,17,NA,61,3,100,3
2014-06-06 15:00:00,21,NA,62,2,100,3
2014-06-06 16:00:00,21,NA,64,2,100,3
2014-06-06 17:00:00,31,NA,65,2,100,3
2014-06-06 18:00:00,39,NA,59,2,200,4
2014-06-06 19:00:00,45,NA,58,3,200,4
2014-06-06 20:00:00,45,NA,56,3,200,4
2014-06-06 21:00:00,51,NA,53,3,200,4
2014-06-06 22:00:00,47,NA,46,6,200,4
2014-06-06 23:00:00,57,NA,44,8,200,4
2014-06-07 00:00:00,67,NA,40,7,200,4
2014-06-07 01:00:00,67,NA,38,3,200,4
2014-06-07 02:00:00,69,NA,26,4,200,4
2014-06-07 03:00:00,69,NA,23,4,200,3
2014-06-07 04:00:00,63,NA,19,3,200,3
2014-06-07 05:00:00,57,NA,14,7,200,3
2014-06-07 06:00:00,55,NA,21,3,200,3
2014-06-07 07:00:00,57,NA,22,3,200,3
2014-06-07 08:00:00,65,NA,34,1,200,3
2014-06-07 09:00:00,63,NA,54,NA,200,4
2014-06-07 10:00:00,59,NA,71,NA,100,4
2014-06-07 11:00:00,61,NA,75,1,100,4
2014-06-07 12:00:00,49,NA,74,1,100,3
2014-06-07 13:00:00,35,NA,76,1,100,3
2014-06-07 14:00:00,47,NA,72,3,100,3
2014-06-07 15:00:00,51,NA,62,3,200,3
2014-06-07 16:00:00,63,NA,61,2,100,3
2014-06-07 17:00:00,47,NA,57,4,100,4
2014-06-07 18:00:00,37,NA,54,3,100,5
2014-06-07 19:00:00,41,NA,54,1,100,3
2014-06-07 20:00:00,35,NA,52,1,100,4
2014-06-07 21:00:00,39,NA,52,1,100,5
2014-06-07 22:00:00,35,NA,53,2,100,3
2014-06-07 23:00:00,39,NA,45,3,100,3
2014-06-08 00:00:00,53,NA,46,1,200,3
2014-06-08 01:00:00,57,NA,49,1,100,3
2014-06-08 02:00:00,53,NA,47,1,100,3
2014-06-08 03:00:00,49,NA,45,1,100,3
2014-06-08 04:00:00,45,NA,44,1,100,3
2014-06-08 05:00:00,37,NA,38,1,100,3
2014-06-08 06:00:00,37,NA,34,3,100,3
2014-06-08 07:00:00,39,NA,41,1,100,3
2014-06-08 08:00:00,37,NA,48,1,100,3
2014-06-08 09:00:00,31,NA,54,NA,100,3
2014-06-08 10:00:00,37,NA,58,NA,100,3
2014-06-08 11:00:00,29,NA,58,NA,100,3
