date,site,temperature,RH,pressure,ws,wd,SRAD,RAIN.F,SNOW.F,cloud.cover,cloud.altitude,vis
2014-06-01 0:00,156,21.8,65,1006.1,2,230,0,NA,NA,NA,NA,NA
2014-06-01 1:00,156,21.5,67,1006,0.4,360,0,NA,NA,NA,NA,NA
2014-06-01 2:00,156,21.3,69,1005.7,0.6,290,0,NA,NA,5,NA,1200
2014-06-01 3:00,156,20.6,74,1005.5,1,270,0,NA,NA,4,NA,1200
2014-06-01 4:00,156,20,76,1005.2,1.2,50,0,NA,NA,5,NA,1200
2014-06-01 5:00,156,20.6,73,1005.2,0.4,360,8.3,NA,NA,7,NA,1200
2014-06-01 6:00,156,20.9,72,1005.3,0,0,47.2,NA,NA,7,NA,1200
2014-06-01 7:00,156,21.9,72,1005.4,0.4,360,116.7,NA,NA,8,NA,1200
2014-06-01 8:00,156,22.4,69,1005.6,0.4,360,180.6,NA,NA,10,28,1100
2014-06-01 9:00,156,23.6,64,1005.2,0.5,160,258.3,NA,NA,10,28,1100
2014-06-01 10:00,156,24,63,1005,1,200,266.7,NA,NA,10,28,1100
2014-06-01 11:00,156,26.1,54,1004.3,1.2,90,361.1,NA,NA,10,28,1100
2014-06-01 12:00,156,27.5,40,1003.7,0.8,360,400,NA,NA,10,28,1200
2014-06-01 13:00,156,28.6,32,1003.1,1.1,200,305.6,NA,NA,10,28,2000
2014-06-01 14:00,156,28,34,1002.8,1.9,230,247.2,NA,NA,10,28,2000
2014-06-01 15:00,156,27.8,40,1002.3,2.3,200,208.3,NA,NA,10,28,2000
2014-06-01 16:00,156,26.7,47,1002.4,3.4,200,138.9,NA,NA,10,28,2000
2014-06-01 17:00,156,25.9,41,1002.3,2.1,180,66.7,NA,NA,10,28,1800
2014-06-01 18:00,156,25.1,46,1002.1,1.4,180,30.6,NA,NA,NA,NA,NA
2014-06-01 19:00,156,24.5,45,1002,1.2,200,0,NA,NA,NA,NA,NA
2014-06-01 20:00,156,23.9,48,1001.7,0.7,110,0,NA,NA,10,10,1300
2014-06-01 21:00,156,23.9,50,1002.2,1.2,270,0,NA,NA,NA,NA,NA
2014-06-01 22:00,156,23.4,52,1002.3,1.9,20,0,NA,NA,NA,NA,NA
2014-06-01 23:00,156,23,57,1002.3,1.7,270,0,NA,NA,10,10,1300
2014-06-02 0:00,156,22.9,50,1002,1,340,0,NA,NA,NA,NA,NA
2014-06-02 1:00,156,22.4,51,1001,3,70,0,NA,NA,NA,NA,NA
2014-06-02 2:00,156,22.9,44,1001.1,1.4,180,0,NA,NA,10,10,1800
2014-06-02 3:00,156,22.4,45,1000,1.7,70,0,NA,NA,10,10,1800
2014-06-02 4:00,156,22.3,45,999.6,1.4,20,0,NA,NA,10,10,1800
2014-06-02 5:00,156,22,50,999.4,2.4,90,0,0,NA,10,10,1800
2014-06-02 6:00,156,22.2,55,999.9,2.9,140,5.6,NA,NA,10,10,1800
2014-06-02 7:00,156,19.8,79,999.6,2.3,110,8.3,0.5,NA,10,8,1400
2014-06-02 8:00,156,19.4,80,998.5,3.7,70,88.9,1,NA,10,8,1600
2014-06-02 9:00,156,19,82,1000.1,1,70,63.9,0.5,NA,10,8,1600
2014-06-02 10:00,156,18.5,89,1000.1,3.1,90,36.1,2.5,NA,10,8,1200
2014-06-02 11:00,156,19.6,79,999.5,4.5,140,186.1,1,NA,10,8,1600
2014-06-02 12:00,156,20.1,68,998.4,3.7,160,225,0,NA,10,10,2000
2014-06-02 13:00,156,21.1,60,997.8,4.5,140,266.7,NA,NA,7,10,2000
2014-06-02 14:00,156,22,59,996.8,5.9,160,383.3,NA,NA,8,10,2000
2014-06-02 15:00,156,20.6,63,997.3,3.2,140,58.3,NA,NA,9,10,2000
2014-06-02 16:00,156,20.5,64,996.9,2.7,160,44.4,NA,NA,9,10,2000
2014-06-02 17:00,156,20,68,996.7,3,140,69.4,NA,NA,9,10,2000
2014-06-02 18:00,156,19.6,70,996.5,3.7,140,33.3,NA,NA,NA,NA,NA
2014-06-02 19:00,156,19.7,62,996.7,3.5,110,0,NA,NA,NA,NA,NA
2014-06-02 20:00,156,19.4,66,996.9,5.2,140,0,NA,NA,9,10,2000
2014-06-02 21:00,156,19.2,68,996.9,4.1,160,0,NA,NA,NA,NA,NA
2014-06-02 22:00,156,19.3,69,996.5,4.6,140,0,NA,NA,NA,NA,NA
2014-06-02 23:00,156,19.6,69,996.1,3,140,0,NA,NA,9,10,2000
2014-06-03 0:00,156,19.5,71,995.9,3.8,140,0,NA,NA,NA,NA,NA
2014-06-03 1:00,156,18.8,78,995.6,2.1,110,0,0.2,NA,10,8,2000
