"date","pm10","pm25","o3","no2","co","so2"
2015-05-01 00:00:00,45,33,38,22,600,3
2015-05-01 01:00:00,43,35,36,21,700,3
2015-05-01 02:00:00,41,39,22,20,700,3
2015-05-01 03:00:00,39,37,15,19,700,3
2015-05-01 04:00:00,41,33,7,17,700,3
2015-05-01 05:00:00,37,37,5,16,700,3
2015-05-01 06:00:00,37,35,10,18,700,3
2015-05-01 07:00:00,43,39,17,18,700,3
2015-05-01 08:00:00,41,37,15,17,700,3
2015-05-01 09:00:00,47,35,19,20,700,3
2015-05-01 10:00:00,51,39,31,22,800,4
2015-05-01 11:00:00,53,43,52,26,800,5
2015-05-01 12:00:00,51,43,66,29,700,4
2015-05-01 13:00:00,43,37,71,30,700,4
2015-05-01 14:00:00,45,33,72,29,700,4
2015-05-01 15:00:00,49,33,61,28,700,3
2015-05-01 16:00:00,55,35,61,28,700,3
2015-05-01 17:00:00,43,35,60,28,700,3
2015-05-01 18:00:00,39,27,59,28,600,3
2015-05-01 19:00:00,43,31,54,27,600,3
2015-05-01 20:00:00,39,33,38,26,700,3
2015-05-01 21:00:00,51,37,40,26,700,3
2015-05-01 22:00:00,41,33,35,24,700,3
2015-05-01 23:00:00,49,35,27,23,700,3
2015-05-02 00:00:00,39,43,26,21,700,3
2015-05-02 01:00:00,47,39,16,21,700,3
2015-05-02 02:00:00,43,45,12,19,700,3
2015-05-02 03:00:00,43,37,9,18,700,3
2015-05-02 04:00:00,49,39,10,18,700,3
2015-05-02 05:00:00,43,39,7,18,800,3
2015-05-02 06:00:00,41,33,9,17,700,3
2015-05-02 07:00:00,37,37,11,17,700,3
2015-05-02 08:00:00,53,47,20,19,700,3
2015-05-02 09:00:00,61,49,43,23,600,3
2015-05-02 10:00:00,39,29,47,24,600,4
2015-05-02 11:00:00,47,25,51,25,600,4
2015-05-02 12:00:00,43,15,54,26,600,3
2015-05-02 13:00:00,27,13,51,25,600,3
2015-05-02 14:00:00,29,15,49,24,600,4
2015-05-02 15:00:00,29,19,47,24,600,4
2015-05-02 16:00:00,29,19,45,24,600,5
2015-05-02 17:00:00,25,19,43,23,600,7
2015-05-02 18:00:00,29,23,39,23,600,5
2015-05-02 19:00:00,33,19,44,22,600,4
2015-05-02 20:00:00,25,13,43,20,600,5
2015-05-02 21:00:00,35,21,42,19,600,5
2015-05-02 22:00:00,29,25,38,18,500,4
2015-05-02 23:00:00,33,25,33,18,600,3
2015-05-03 00:00:00,35,25,32,17,600,3
2015-05-03 01:00:00,29,31,32,17,600,3
2015-05-03 02:00:00,27,25,34,18,600,3
2015-05-03 03:00:00,21,23,34,18,600,3
2015-05-03 04:00:00,17,21,41,18,600,3
2015-05-03 05:00:00,11,11,44,19,600,3
2015-05-03 06:00:00,9,7,43,17,600,3
2015-05-03 07:00:00,7,5,41,17,600,3
2015-05-03 08:00:00,9,7,34,17,600,3
2015-05-03 09:00:00,7,7,32,19,600,4
2015-05-03 10:00:00,7,5,34,18,600,3
2015-05-03 11:00:00,9,7,33,18,600,3
2015-05-03 12:00:00,7,11,33,18,600,3
2015-05-03 13:00:00,5,11,36,18,700,4
2015-05-03 14:00:00,5,11,37,19,700,3
2015-05-03 15:00:00,5,11,34,20,700,4
2015-05-03 16:00:00,9,9,36,18,700,4
2015-05-03 17:00:00,15,15,33,19,700,4
2015-05-03 18:00:00,23,17,30,19,700,3
2015-05-03 19:00:00,29,15,24,20,700,3
2015-05-03 20:00:00,19,19,35,20,600,3
2015-05-03 21:00:00,9,11,40,23,600,3
2015-05-03 22:00:00,25,25,35,21,600,3
2015-05-03 23:00:00,45,39,32,22,600,3
2015-05-04 00:00:00,51,35,33,22,600,3
2015-05-04 01:00:00,31,35,40,21,600,3
2015-05-04 02:00:00,25,27,36,20,600,3
2015-05-04 03:00:00,21,27,33,21,600,3
2015-05-04 04:00:00,19,15,33,19,600,3
2015-05-04 05:00:00,17,21,32,20,600,3
2015-05-04 06:00:00,13,15,34,20,600,3
2015-05-04 07:00:00,21,17,36,20,700,3
2015-05-04 08:00:00,25,23,38,21,700,3
2015-05-04 09:00:00,35,27,40,21,800,3
2015-05-04 10:00:00,57,31,46,22,700,4
2015-05-04 11:00:00,79,31,52,23,700,3
2015-05-04 12:00:00,107,29,56,19,700,3
2015-05-04 13:00:00,129,25,57,15,700,4
2015-05-04 14:00:00,115,19,58,14,700,4
2015-05-04 15:00:00,93,23,57,14,700,4
2015-05-04 16:00:00,103,21,53,13,700,4
2015-05-04 17:00:00,101,19,48,13,600,3
2015-05-04 18:00:00,87,15,47,13,600,3
2015-05-04 19:00:00,41,9,46,15,600,3
2015-05-04 20:00:00,41,11,45,15,600,3
2015-05-04 21:00:00,43,15,43,16,600,3
2015-05-04 22:00:00,41,13,39,18,600,3
2015-05-04 23:00:00,43,13,35,18,600,3
2015-05-05 00:00:00,39,13,36,18,600,3
2015-05-05 01:00:00,39,17,34,18,700,3
2015-05-05 02:00:00,35,19,30,17,600,3
2015-05-05 03:00:00,31,13,23,17,600,3
2015-05-05 04:00:00,31,19,22,16,600,3
2015-05-05 05:00:00,27,15,18,17,600,3
2015-05-05 06:00:00,31,15,17,15,700,3
2015-05-05 07:00:00,35,21,22,15,600,3
2015-05-05 08:00:00,37,19,30,17,600,4
2015-05-05 09:00:00,33,15,36,18,700,4
2015-05-05 10:00:00,39,15,37,18,700,4
2015-05-05 11:00:00,31,19,45,20,700,4
2015-05-05 12:00:00,33,19,51,20,700,4
2015-05-05 13:00:00,39,15,55,21,700,4
2015-05-05 14:00:00,35,15,56,21,700,3
2015-05-05 15:00:00,33,21,55,20,600,3
2015-05-05 16:00:00,33,17,52,22,700,3
2015-05-05 17:00:00,33,7,52,21,700,3
2015-05-05 18:00:00,27,15,47,20,700,3
2015-05-05 19:00:00,25,17,42,20,700,4
2015-05-05 20:00:00,33,15,40,20,700,3
2015-05-05 21:00:00,27,15,33,19,700,3
2015-05-05 22:00:00,35,33,19,18,700,3
2015-05-05 23:00:00,35,25,15,17,700,3
2015-05-06 00:00:00,39,27,21,18,700,3
2015-05-06 01:00:00,27,19,26,15,600,3
2015-05-06 02:00:00,19,19,25,17,700,3
2015-05-06 03:00:00,25,21,20,15,700,3
2015-05-06 04:00:00,17,17,17,15,700,3
2015-05-06 05:00:00,15,19,15,15,700,3
2015-05-06 06:00:00,13,17,18,15,700,3
2015-05-06 07:00:00,31,21,23,15,700,3
2015-05-06 08:00:00,25,19,25,15,700,3
2015-05-06 09:00:00,31,19,29,15,700,3
2015-05-06 10:00:00,31,27,38,17,700,3
2015-05-06 11:00:00,29,21,36,19,700,3
2015-05-06 12:00:00,33,23,36,21,800,4
2015-05-06 13:00:00,45,29,60,24,800,4
2015-05-06 14:00:00,33,23,68,23,700,4
2015-05-06 15:00:00,21,23,61,21,700,4
2015-05-06 16:00:00,27,25,61,21,700,4
2015-05-06 17:00:00,27,21,59,22,700,4
2015-05-06 18:00:00,45,21,54,23,800,4
2015-05-06 19:00:00,53,27,47,24,800,4
2015-05-06 20:00:00,57,25,48,23,800,4
2015-05-06 21:00:00,61,27,44,23,800,4
2015-05-06 22:00:00,57,29,38,23,800,4
2015-05-06 23:00:00,59,35,29,21,800,3
2015-05-07 00:00:00,57,37,18,19,800,3
2015-05-07 01:00:00,55,37,20,18,800,3
2015-05-07 02:00:00,55,35,26,19,800,3
2015-05-07 03:00:00,51,28,28,19,800,3
2015-05-07 04:00:00,45,25,24,17,700,3
2015-05-07 05:00:00,43,25,22,18,700,3
2015-05-07 06:00:00,45,25,22,18,700,3
2015-05-07 07:00:00,47,27,33,20,700,3
2015-05-07 08:00:00,51,22,45,20,700,4
2015-05-07 09:00:00,61,20,48,19,800,4
2015-05-07 10:00:00,61,26,NA,NA,NA,NA
2015-05-07 11:00:00,63,37,65,29,800,4
2015-05-07 12:00:00,65,37,79,29,700,4
2015-05-07 13:00:00,49,27,70,27,700,3
2015-05-07 14:00:00,39,15,70,27,700,4
2015-05-07 15:00:00,43,19,69,27,700,4
2015-05-07 16:00:00,65,23,68,24,700,4
2015-05-07 17:00:00,37,13,62,23,700,3
2015-05-07 18:00:00,31,15,60,24,700,4
2015-05-07 19:00:00,41,11,60,27,700,4
2015-05-07 20:00:00,47,23,58,25,700,4
2015-05-07 21:00:00,39,25,43,25,700,3
2015-05-07 22:00:00,39,19,30,25,800,4
2015-05-07 23:00:00,49,33,21,25,800,3
2015-05-08 00:00:00,39,27,26,25,700,3
2015-05-08 01:00:00,43,27,25,23,700,3
2015-05-08 02:00:00,37,33,19,23,700,3
2015-05-08 03:00:00,43,31,22,21,700,3
2015-05-08 04:00:00,39,25,21,21,700,3
2015-05-08 05:00:00,33,27,19,19,700,3
2015-05-08 06:00:00,41,33,22,21,700,3
2015-05-08 07:00:00,39,33,31,20,700,3
2015-05-08 08:00:00,45,33,34,20,700,3
2015-05-08 09:00:00,51,29,44,21,700,3
2015-05-08 10:00:00,41,23,56,22,700,3
2015-05-08 11:00:00,39,17,65,23,700,3
2015-05-08 12:00:00,39,19,68,24,700,3
2015-05-08 13:00:00,49,29,75,26,700,4
2015-05-08 14:00:00,67,43,74,27,700,4
2015-05-08 15:00:00,59,33,72,30,700,4
2015-05-08 16:00:00,61,27,64,26,700,4
2015-05-08 17:00:00,73,33,56,25,700,3
2015-05-08 18:00:00,61,33,50,25,700,3
2015-05-08 19:00:00,51,21,42,26,700,3
2015-05-08 20:00:00,47,27,31,26,800,4
2015-05-08 21:00:00,55,33,29,26,700,3
2015-05-08 22:00:00,61,37,20,26,700,3
2015-05-08 23:00:00,55,33,18,25,700,3
2015-05-09 00:00:00,61,39,24,25,800,4
2015-05-09 01:00:00,65,45,30,26,700,3
2015-05-09 02:00:00,57,41,24,24,700,3
2015-05-09 03:00:00,53,39,33,25,700,3
2015-05-09 04:00:00,47,39,24,21,700,3
2015-05-09 05:00:00,53,43,33,24,700,3
2015-05-09 06:00:00,51,39,33,24,700,3
2015-05-09 07:00:00,45,37,34,24,700,3
2015-05-09 08:00:00,61,39,56,22,700,3
2015-05-09 09:00:00,55,37,60,20,700,3
2015-05-09 10:00:00,57,39,66,20,700,3
2015-05-09 11:00:00,59,43,68,23,700,3
2015-05-09 12:00:00,43,39,70,24,700,3
2015-05-09 13:00:00,53,35,71,26,700,3
2015-05-09 14:00:00,51,33,71,26,700,3
2015-05-09 15:00:00,41,27,71,28,700,3
2015-05-09 16:00:00,43,27,72,26,700,3
2015-05-09 17:00:00,55,25,63,25,700,3
2015-05-09 18:00:00,51,19,56,25,700,3
2015-05-09 19:00:00,35,17,45,26,700,3
2015-05-09 20:00:00,43,25,46,27,700,3
2015-05-09 21:00:00,37,25,44,26,700,3
2015-05-09 22:00:00,35,25,43,26,700,4
2015-05-09 23:00:00,31,23,32,26,700,3
2015-05-10 00:00:00,37,31,25,24,700,3
2015-05-10 01:00:00,37,31,22,24,700,3
2015-05-10 02:00:00,41,31,24,23,700,3
2015-05-10 03:00:00,35,31,17,22,700,3
2015-05-10 04:00:00,41,35,13,23,700,2
2015-05-10 05:00:00,37,25,11,21,700,3
2015-05-10 06:00:00,35,27,10,20,700,3
2015-05-10 07:00:00,39,37,23,22,700,3
2015-05-10 08:00:00,47,35,34,22,700,3
2015-05-10 09:00:00,47,39,40,24,700,3
2015-05-10 10:00:00,59,33,48,27,800,5
2015-05-10 11:00:00,63,41,60,30,800,6
2015-05-10 12:00:00,61,39,70,30,800,5
2015-05-10 13:00:00,65,47,76,29,700,4
2015-05-10 14:00:00,69,39,78,29,700,4
2015-05-10 15:00:00,63,37,81,29,800,5
2015-05-10 16:00:00,67,39,79,29,800,5
2015-05-10 17:00:00,69,37,69,29,700,4
2015-05-10 18:00:00,67,45,64,29,800,4
2015-05-10 19:00:00,67,41,53,28,800,3
2015-05-10 20:00:00,57,33,53,29,800,3
2015-05-10 21:00:00,51,33,44,27,800,3
2015-05-10 22:00:00,51,35,41,27,800,3
2015-05-10 23:00:00,61,43,43,27,800,4
2015-05-11 00:00:00,63,35,41,25,700,3
2015-05-11 01:00:00,55,35,41,23,700,3
2015-05-11 02:00:00,65,35,41,24,800,4
2015-05-11 03:00:00,63,39,37,23,800,3
2015-05-11 04:00:00,59,43,35,21,800,4
2015-05-11 05:00:00,63,45,34,20,1000,6
2015-05-11 06:00:00,69,47,34,20,1100,6
2015-05-11 07:00:00,79,47,35,19,1000,6
2015-05-11 08:00:00,83,51,44,20,900,5
2015-05-11 09:00:00,75,39,52,21,800,5
2015-05-11 10:00:00,57,27,50,22,800,5
2015-05-11 11:00:00,57,29,50,22,800,6
2015-05-11 12:00:00,51,23,50,25,900,7
2015-05-11 13:00:00,41,23,53,25,800,5
2015-05-11 14:00:00,55,17,57,19,800,4
2015-05-11 15:00:00,47,23,55,20,700,3
2015-05-11 16:00:00,51,15,52,18,700,3
2015-05-11 17:00:00,17,17,50,19,700,3
2015-05-11 18:00:00,5,7,50,20,800,3
2015-05-11 19:00:00,29,5,51,22,800,3
2015-05-11 20:00:00,7,3,52,25,700,3
2015-05-11 21:00:00,5,5,53,25,700,3
2015-05-11 22:00:00,3,3,49,25,700,3
2015-05-11 23:00:00,3,5,41,26,700,3
2015-05-12 00:00:00,3,5,42,25,800,3
2015-05-12 01:00:00,3,9,36,26,1000,3
2015-05-12 02:00:00,7,11,31,25,1300,3
