date,site,temperature,RH,pressure,ws,wd,SRAD,RAIN.F,SNOW.F,cloud.cover,cloud.altitude,vis
2015-05-01 0:00,156,17,84,1006.2,1.6,230,0,NA,NA,NA,NA,700
2015-05-01 1:00,156,16.5,84,1005.6,1.8,230,0,NA,NA,NA,NA,700
2015-05-01 2:00,156,16.1,85,1005.7,1.2,250,0,NA,NA,3,10,600
2015-05-01 3:00,156,15.4,88,1005.5,1.5,20,0,NA,NA,2,10,600
2015-05-01 4:00,156,15,90,1005.5,1.4,50,0,NA,NA,3,10,400
2015-05-01 5:00,156,15.2,91,1006,0,0,0,NA,NA,3,10,400
2015-05-01 6:00,156,16.2,90,1006.5,0.1,360,72.2,NA,NA,1,10,500
2015-05-01 7:00,156,16.9,86,1007,1.2,250,194.4,NA,NA,5,10,600
2015-05-01 8:00,156,17.7,81,1007.2,1.4,230,333.3,NA,NA,7,10,600
2015-05-01 9:00,156,20.8,71,1007,1,250,563.9,NA,NA,1,10,600
2015-05-01 10:00,156,22.2,63,1006.6,1.8,250,750,NA,NA,3,10,900
2015-05-01 11:00,156,24.5,57,1005.7,1.2,360,747.2,NA,NA,7,10,1200
2015-05-01 12:00,156,24,55,1005,1.3,20,683.3,NA,NA,6,10,1200
2015-05-01 13:00,156,24.7,52,1004.4,1.2,320,555.6,NA,NA,6,10,2000
2015-05-01 14:00,156,25.4,50,1003.8,1.7,290,408.3,NA,NA,7,10,2000
2015-05-01 15:00,156,24.7,55,1003.5,2.3,290,319.4,NA,NA,6,10,1800
2015-05-01 16:00,156,24.3,55,1003.7,1.5,290,286.1,NA,NA,7,10,2000
2015-05-01 17:00,156,23.9,57,1003.6,1.7,290,152.8,NA,NA,7,10,2000
2015-05-01 18:00,156,22.1,63,1004.4,3.4,270,50,NA,NA,NA,NA,1800
2015-05-01 19:00,156,21,66,1005.2,1.4,250,0,NA,NA,NA,NA,1700
2015-05-01 20:00,156,20.2,69,1005.9,1.4,230,0,NA,NA,0,NA,1500
2015-05-01 21:00,156,19.8,72,1006.5,1.6,230,0,NA,NA,NA,NA,1200
2015-05-01 22:00,156,18.9,74,1006.5,1.6,230,0,NA,NA,NA,NA,1300
2015-05-01 23:00,156,18.4,73,1006.5,1.6,230,0,NA,NA,0,NA,1500
2015-05-02 0:00,156,18,76,1006.2,1.4,230,0,NA,NA,NA,NA,1300
2015-05-02 1:00,156,17.7,77,1005.8,0.3,360,0,NA,NA,NA,NA,1100
2015-05-02 2:00,156,16.4,84,1005.3,0.8,50,0,NA,NA,0,NA,800
2015-05-02 3:00,156,16.3,86,1005,0.3,360,0,NA,NA,0,NA,600
2015-05-02 4:00,156,15.7,89,1004.8,1.1,70,0,NA,NA,0,NA,600
2015-05-02 5:00,156,15.7,89,1005.3,0,0,2.8,NA,NA,1,NA,600
2015-05-02 6:00,156,16.5,87,1005.8,0.4,360,72.2,NA,NA,2,NA,600
2015-05-02 7:00,156,18.2,81,1006.2,0.9,290,275,NA,NA,3,NA,600
2015-05-02 8:00,156,21.2,66,1006,1.2,70,475,NA,NA,4,NA,1800
2015-05-02 9:00,156,23.3,55,1005.7,3.7,200,638.9,NA,NA,5,10,2000
2015-05-02 10:00,156,25.1,49,1005,3.8,200,741.7,NA,NA,6,10,2000
2015-05-02 11:00,156,24.7,46,1004.8,4.9,180,805.6,NA,NA,7,10,2000
