"date","pm10","pm25","o3","no2","co","so2"
2016-04-01 00:00:00,103,69,33,28,500,1
2016-04-01 01:00:00,109,73,41,19,500,1
2016-04-01 02:00:00,99,69,45,16,400,NA
2016-04-01 03:00:00,89,59,51,15,400,NA
2016-04-01 04:00:00,87,61,59,15,400,NA
2016-04-01 05:00:00,79,61,59,22,400,NA
2016-04-01 06:00:00,85,57,64,26,400,NA
2016-04-01 07:00:00,79,59,73,23,400,NA
2016-04-01 08:00:00,89,61,75,23,400,1
2016-04-01 09:00:00,87,59,81,23,300,1
2016-04-01 10:00:00,89,57,84,25,300,2
2016-04-01 11:00:00,89,49,86,35,400,2
2016-04-01 12:00:00,99,55,90,27,400,2
2016-04-01 13:00:00,103,51,NA,NA,NA,NA
2016-04-01 14:00:00,79,43,NA,NA,NA,NA
2016-04-01 15:00:00,83,41,75,11,300,2
2016-04-01 16:00:00,97,43,78,11,300,2
2016-04-01 17:00:00,83,43,77,13,200,2
2016-04-01 18:00:00,79,41,73,19,300,2
2016-04-01 19:00:00,83,43,57,33,300,2
2016-04-01 20:00:00,91,49,37,44,500,2
2016-04-01 21:00:00,93,55,27,44,400,2
2016-04-01 22:00:00,97,59,17,45,400,1
2016-04-01 23:00:00,111,73,8,52,400,1
2016-04-02 00:00:00,113,73,14,34,400,1
2016-04-02 01:00:00,111,67,20,24,400,NA
2016-04-02 02:00:00,97,63,19,22,400,1
2016-04-02 03:00:00,91,63,21,17,300,NA
2016-04-02 04:00:00,87,59,26,15,300,NA
2016-04-02 05:00:00,85,57,22,20,300,NA
2016-04-02 06:00:00,85,59,17,24,300,NA
2016-04-02 07:00:00,81,51,18,28,300,1
2016-04-02 08:00:00,93,67,41,20,300,1
2016-04-02 09:00:00,107,71,44,20,300,1
2016-04-02 10:00:00,99,59,53,19,300,1
2016-04-02 11:00:00,85,51,54,25,300,1
2016-04-02 12:00:00,77,43,74,10,300,1
2016-04-02 13:00:00,65,35,74,9,300,1
2016-04-02 14:00:00,63,35,74,9,300,1
2016-04-02 15:00:00,61,29,75,9,200,1
2016-04-02 16:00:00,57,33,75,9,200,1
2016-04-02 17:00:00,63,29,71,11,200,1
2016-04-02 18:00:00,57,33,64,13,300,1
2016-04-02 19:00:00,59,31,60,15,300,1
2016-04-02 20:00:00,59,37,57,11,300,1
2016-04-02 21:00:00,73,43,56,11,300,1
2016-04-02 22:00:00,75,51,45,20,300,1
2016-04-02 23:00:00,75,47,35,24,300,1
2016-04-03 00:00:00,81,57,37,17,300,1
2016-04-03 01:00:00,79,57,23,18,300,NA
2016-04-03 02:00:00,89,63,25,14,300,NA
2016-04-03 03:00:00,81,59,32,10,300,NA
2016-04-03 04:00:00,85,59,37,9,300,NA
2016-04-03 05:00:00,89,65,34,10,300,NA
2016-04-03 06:00:00,89,67,28,12,300,NA
2016-04-03 07:00:00,83,61,33,11,300,NA
2016-04-03 08:00:00,99,69,41,10,300,1
2016-04-03 09:00:00,107,73,51,9,300,1
2016-04-03 10:00:00,99,71,54,8,300,1
2016-04-03 11:00:00,87,67,54,8,300,1
2016-04-03 12:00:00,83,53,55,8,200,1
2016-04-03 13:00:00,71,47,51,8,300,1
2016-04-03 14:00:00,71,43,44,10,300,NA
2016-04-03 15:00:00,85,57,42,10,300,NA
2016-04-03 16:00:00,81,55,41,11,300,NA
2016-04-03 17:00:00,75,57,38,12,300,NA
2016-04-03 18:00:00,77,61,33,14,300,NA
2016-04-03 19:00:00,79,61,40,12,300,NA
2016-04-03 20:00:00,105,83,37,13,400,NA
2016-04-03 21:00:00,115,87,36,11,400,NA
2016-04-03 22:00:00,111,93,40,9,400,NA
2016-04-03 23:00:00,111,85,35,9,400,NA
2016-04-04 00:00:00,99,83,41,7,300,NA
2016-04-04 01:00:00,65,49,44,5,200,NA
2016-04-04 02:00:00,43,33,43,5,200,NA
2016-04-04 03:00:00,35,31,38,6,200,NA
2016-04-04 04:00:00,49,37,31,10,300,NA
2016-04-04 05:00:00,61,47,39,7,300,NA
2016-04-04 06:00:00,53,43,38,10,300,NA
2016-04-04 07:00:00,55,41,29,15,300,NA
2016-04-04 08:00:00,57,45,28,16,300,NA
2016-04-04 09:00:00,55,39,30,15,300,NA
2016-04-04 10:00:00,53,37,37,11,300,NA
2016-04-04 11:00:00,37,33,43,7,200,NA
2016-04-04 12:00:00,25,21,44,10,300,NA
2016-04-04 13:00:00,33,15,42,17,300,NA
2016-04-04 14:00:00,45,29,48,13,300,NA
2016-04-04 15:00:00,41,31,48,12,300,NA
2016-04-04 16:00:00,41,29,48,12,300,1
2016-04-04 17:00:00,59,33,46,14,300,1
2016-04-04 18:00:00,57,39,51,12,300,1
2016-04-04 19:00:00,49,33,44,18,300,1
2016-04-04 20:00:00,49,35,44,14,300,1
2016-04-04 21:00:00,51,29,38,17,300,1
2016-04-04 22:00:00,55,27,37,16,200,1
2016-04-04 23:00:00,NA,27,32,18,200,1
2016-04-05 00:00:00,49,29,35,14,200,1
2016-04-05 01:00:00,47,23,34,11,200,1
2016-04-05 02:00:00,51,23,34,10,200,NA
2016-04-05 03:00:00,53,27,23,14,200,NA
2016-04-05 04:00:00,49,29,14,17,300,NA
2016-04-05 05:00:00,51,19,9,20,300,NA
2016-04-05 06:00:00,43,23,8,22,300,NA
2016-04-05 07:00:00,41,27,7,20,300,NA
2016-04-05 08:00:00,49,27,11,21,300,NA
2016-04-05 09:00:00,55,29,29,14,200,NA
2016-04-05 10:00:00,51,31,41,11,200,1
2016-04-05 11:00:00,47,29,51,9,200,1
2016-04-05 12:00:00,47,17,56,7,200,1
2016-04-05 13:00:00,39,13,56,7,200,1
2016-04-05 14:00:00,35,13,56,7,200,1
2016-04-05 15:00:00,35,17,NA,NA,NA,NA
2016-04-05 16:00:00,NA,NA,NA,NA,NA,NA
2016-04-05 17:00:00,35,17,NA,NA,NA,NA
2016-04-05 18:00:00,35,17,46,14,200,1
