date,nh3,no2,so2,o3,ws,wd,temperature,RH,pressure,SRAD,rainf,pm01,pm25,pm10,cl_pm25,nh4_pm25,no3_pm25,om_pm25,so4_pm25,bc,cl_marga,no3_marga,so4_marga,na_marga,nh4_marga,hcl_marga,hono_magar,hno3_marga
2021-06-01 16:00,NA,4.705420905,4.5,63.25659473,4,303,23.4,43,1011.5,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6215,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-01 17:00,NA,3.057064934,4.5,62.20036216,2.7,308,22.7,46.4,1011.4,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59175,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-01 18:00,NA,4.785685088,4,57.61601943,1.2,298,21.7,52,1011.4,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.564333333,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-01 19:00,NA,7.081729486,3.5,49.72361499,0.9,215,20.5,53.5,1011.4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.521333333,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-01 20:00,NA,6.934806613,3,47.20039275,1.6,177,20,51.2,1011.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.512583333,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-01 21:00,NA,12.95605961,3,38.02437234,2.2,160,20,50.4,1011,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.599916667,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-01 22:00,NA,10.28695095,3,37.60261281,1.9,153,19.7,51.3,1011,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6695,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-01 23:00,NA,12.1274522,3,33.06594724,1.9,151,19.3,52.1,1010.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83975,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-02 0:00,NA,6.472302102,3,41.7101839,2.2,156,19.2,52.6,1010.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00575,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-02 1:00,NA,6.085491363,3,45.99746122,1.6,153,19.2,53.9,1010.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.834083333,NA,NA,NA,NA,NA,NA,NA,NA
