date,temperature,RH,pressure,ws,wd,SRAD,RAIN.F,SNOW.F,cloud.cover,cloud.altitude,vis,lon,lat
2022-02-28 23:00,9.1,71,1009,0.7,200,NA,NA,NA,6,NA,2000,126.8916,35.1729
2022-03-01 0:00,8.6,67,1008.4,0,0,NA,NA,NA,8,15,2000,126.8916,35.1729
2022-03-01 1:00,8.3,65,1007.8,0,0,NA,NA,NA,5,12,2000,126.8916,35.1729
2022-03-01 2:00,8.8,60,1006.4,1.2,70,NA,NA,NA,10,10,2000,126.8916,35.1729
2022-03-01 3:00,6.4,97,1006.1,0.2,0,NA,NA,NA,10,8,743,126.8916,35.1729
2022-03-01 4:00,6.5,99,1005.7,0.3,0,NA,NA,NA,10,6,622,126.8916,35.1729
2022-03-01 5:00,6.9,99,1005.4,0.6,340,NA,2.3,NA,10,5,613,126.8916,35.1729
2022-03-01 6:00,6.4,99,1005.8,0.6,270,NA,NA,NA,10,4,263,126.8916,35.1729
2022-03-01 7:00,6.2,99,1006.4,0,0,16.7,NA,NA,10,5,126,126.8916,35.1729
2022-03-01 8:00,7,99,1006.8,0,0,33.3,0.6,NA,10,8,214,126.8916,35.1729
2022-03-01 9:00,7.6,99,1006.4,0,0,66.7,NA,NA,10,9,200,126.8916,35.1729
2022-03-01 10:00,9.1,99,1006.2,0.1,0,208.3,NA,NA,10,10,314,126.8916,35.1729
2022-03-01 11:00,10.9,99,1006.1,0.7,290,361.1,NA,NA,10,9,716,126.8916,35.1729
2022-03-01 12:00,12.8,83,1005.4,1.1,320,472.2,NA,NA,7,10,870,126.8916,35.1729
2022-03-01 13:00,12.1,75,1005.3,2.6,320,488.9,NA,NA,10,7,997,126.8916,35.1729
2022-03-01 14:00,10.8,79,1005.7,1.5,320,550,NA,NA,8,10,781,126.8916,35.1729
2022-03-01 15:00,10.1,78,1006.3,2.1,270,350,NA,NA,7,10,611,126.8916,35.1729
2022-03-01 16:00,8.1,78,1007.3,1.5,320,194.4,NA,NA,8,11,520,126.8916,35.1729
2022-03-01 17:00,6.2,86,1008.1,2,320,86.1,NA,NA,4,11,566,126.8916,35.1729
2022-03-01 18:00,5,88,1008.6,1.4,290,22.2,NA,NA,6,NA,590,126.8916,35.1729
2022-03-01 19:00,4.5,88,1009.7,1.3,270,NA,NA,NA,9,NA,701,126.8916,35.1729
