,date,day.type,temperature,RH,pressure,SRAD,pm25,so2
0,6/10/2014,undefined,23.64583333,65.29166667,1000.891667,195.1416667,,4.75
1,6/11/2014,Non,23.175,59.41666667,997.5041667,281.4833333,29.83928571,4.333333333
2,6/12/2014,NPF,19.79166667,77.25,994.9166667,152.8916667,10.90798611,4.125
3,6/13/2014,Non,21.85833333,68.5,997.0708333,232.1791667,10.02708333,4
4,6/14/2014,NPF,22.52083333,62.33333333,999.8958333,238.3041667,42.06076389,3.916666667
5,6/15/2014,Non,22.7625,61.83333333,999.3833333,278.5833333,24.87986111,4.041666667
6,6/16/2014,NPF,23.48333333,60.58333333,998.5166667,245.7166667,35.71388889,4.125
7,6/17/2014,Non,21.75416667,72.41666667,996.9083333,128.0125,39.48645833,4.333333333
8,6/18/2014,NPF,23.24166667,60.79166667,996.4375,253.4708333,43.10173611,3.956521739
9,6/19/2014,Non,23.6875,64.625,998.2291667,251.8458333,42.53923611,4
10,6/20/2014,Non,23.64166667,65.33333333,999.4041667,201.0458333,5.042013889,5.083333333
11,6/21/2014,Non,22.41666667,75.16666667,998.9375,84.6,30.33055556,4.333333333
12,6/22/2014,NPF,23.0625,71.45833333,999.0958333,162.15,22.28923611,4.166666667
13,6/23/2014,Non,22.4375,76.125,998.9083333,146.7583333,16.71805556,4.041666667
14,6/24/2014,Non,23.02916667,71.375,998.8541667,204.5125,19.93784722,4.041666667
15,6/25/2014,undefined,23.07916667,68.70833333,1000.545833,214.5833333,8.198263889,4
16,6/26/2014,Non,24.05416667,68.20833333,999.5,195.6,12.61493056,4
17,6/27/2014,NPF,25.32083333,60.08333333,996.675,278.0166667,6.998958333,4.5
18,6/28/2014,Non,24.57916667,63.20833333,996.0875,262.2583333,21.97118056,4.041666667
19,6/29/2014,Non,24.32916667,65.29166667,997.6125,205.4458333,22.0375,4.125
20,6/30/2014,NPF,25.0875,62.5,1000.579167,247.45,27.54769571,4
21,7/1/2014,Non,25.35,63.45833333,1002.295833,256.6,20.85173611,4.958333333
22,7/2/2014,Non,21.95416667,73,999.3916667,75.92916667,31.49513889,4.375
23,7/3/2014,Non,20.64583333,91.20833333,991.9875,36.80416667,26.64166667,4.545454545
24,7/4/2014,undefined,22.84583333,84.25,998.1791667,115.3875,14.07222222,5.083333333
25,12/21/2014,undefined,-0.216666667,48.20833333,1021.316667,129.9875,8.225347222,4.958333333
26,12/22/2014,Non,1.283333333,54.83333333,1020.7625,123.6125,18.63333333,4.375
27,12/23/2014,Non,1.175,67.54166667,1014.075,72.80416667,34.52001134,4.666666667
28,12/24/2014,Non,4.420833333,72.79166667,1007.8875,88.42916667,23.88854167,7.125
29,12/25/2014,Non,5.758333333,56.79166667,1009.683333,114,19.06909722,6.217391304
30,12/26/2014,undefined,1.4125,68.91666667,1009.154167,51.625,36.45763889,4.375
31,12/27/2014,Non,-3.725,78.75,1016.129167,75.12083333,11.875,4.125
32,12/28/2014,Non,-2.3375,78.58333333,1016.9375,47.22083333,18.25,4.125
33,12/29/2014,Non,-1.966666667,69.83333333,1015.933333,120.7208333,25.33333333,3.5
34,12/30/2014,NPF,3.391666667,73.75,1010.158333,111.5791667,43.83333333,4.125
35,12/31/2014,Non,4.829166667,80.75,1008.4125,81.3625,62.41666667,4.416666667
36,1/1/2015,Non,2.966666667,58.20833333,1007.125,136.5791667,21.91666667,4.652173913
37,1/2/2015,Non,-1.358333333,47.125,1013.825,132.2916667,9.083333333,4.625
38,1/3/2015,NPF,-0.220833333,59.91666667,1017.525,111.8083333,16.16666667,4.208333333
39,1/4/2015,Non,2.004166667,64.75,1017.2375,84.49583333,49.79166667,7.416666667
40,1/5/2015,Non,3.141666667,58.04166667,1016.208333,135.4125,40.66666667,5.333333333
41,1/6/2015,NPF,1.3625,64.33333333,1016.675,123.3791667,26.83333333,3.75
42,1/7/2015,NPF,-0.008333333,45.54166667,1024.808333,139.9333333,28.33333333,4.708333333
43,1/8/2015,Non,3.125,52.29166667,1024.558333,103.35,34.91666667,3.818181818
44,1/9/2015,Non,4.941666667,60.33333333,1017.354167,23.8375,38.83333333,3.791666667
45,1/10/2015,Non,3.5,58.20833333,1013.804167,99.075,55.41666667,6
46,1/11/2015,undefined,1.633333333,76.25,1013.554167,20.025,82.91666667,6.041666667
47,5/18/2015,Non,16.07916667,69.54166667,997.5666667,76.7375,23.08333333,3
48,5/19/2015,Non,18.6125,72.33333333,998.8125,271.4125,35.25,3.041666667
49,5/20/2015,NPF,17.50416667,53.875,1001.195833,324.3125,23.33333333,2.863636364
50,5/21/2015,Non,18.5625,50.375,1006.85,314.3583333,20.91666667,3.166666667
51,5/22/2015,NPF,21.175,42.70833333,1006.425,262.275,26.25,3.458333333
52,5/23/2015,Non,20.90833333,47.875,1003.104167,169.7875,34.41666667,3.625
53,5/24/2015,NPF,21.1375,45.45833333,1000.491667,310.1833333,28.5,3.5
54,5/25/2015,NPF,20.69166667,38.33333333,1001.404167,320.25,20.33333333,3.125
55,5/26/2015,NPF,22.49583333,41.5,1003.325,326.275,23.41666667,2.958333333
56,5/27/2015,NPF,23.43333333,40.25,1001.970833,311.9166667,23.16666667,2.904761905
57,5/28/2015,NPF,24.48333333,40.16666667,1000.595833,283.9083333,29.75,3.916666667
58,5/29/2015,NPF,23.63333333,45,999.6291667,273.6125,38,3.875
59,5/30/2015,Non,19.65,72.66666667,997.175,129.8666667,30.91666667,2.916666667
60,5/31/2015,Non,21.7,63.375,999.9,290.75,35.08333333,2.833333333
61,6/1/2015,Non,23.1375,57.66666667,1001.975,295.7208333,31.16666667,2.727272727
62,6/2/2015,Non,21.63333333,66.625,1000.0375,113.5333333,43,3.125
63,6/3/2015,NPF,22.32916667,43.83333333,999.4708333,325.5791667,26.08333333,3.083333333
64,6/4/2015,Non,22.875,35.375,1002.1875,295.0208333,18.83333333,3.041666667
65,6/5/2015,Non,18.6125,57.95833333,998.6833333,170.25,16.33333333,2.583333333
66,6/6/2015,Non,20.925,56.66666667,1004.279167,293.75,22.16666667,2.541666667
67,6/7/2015,NPF,21.7,50.58333333,1005.575,268.6375,21.16666667,5.541666667
68,6/8/2015,Non,19.97083333,78.66666667,999.675,65.75,34.83333333,5.173913043
69,6/9/2015,Non,22.3125,69.91666667,998.9791667,240.5166667,31.75,2.5
70,6/10/2015,Non,24.39583333,57.125,999.5666667,286.5708333,32.33333333,4.25
71,6/11/2015,Non,23.02916667,72.91666667,994.7541667,84.37916667,31.41666667,3.791666667
72,6/12/2015,Non,25.62916667,51.875,996.4791667,297.4583333,62.33333333,3.666666667
73,6/13/2015,undefined,24.3125,57.66666667,998.7916667,159.725,49.66666667,3.25
74,4/23/2016,undefined,17.05,59.625,1004.35,120.2541667,58,1.166666667
75,4/24/2016,NPF,17.23333333,31.125,1006.166667,304.0541667,28.33333333,1.5
76,4/25/2016,NPF,18.43333333,46.125,1008.5875,302.55,29.25,1.470588235
77,4/26/2016,NPF,18.59166667,64.83333333,1006.158333,231.2541667,27.95833333,3.95
78,4/27/2016,Non,13.24583333,97.95833333,998.3416667,43.51666667,8.416666667,1
79,4/28/2016,Non,14.6375,81.5,999.4625,171.525,9.958333333,1.714285714
80,4/29/2016,Non,15.3625,64.70833333,1004.583333,315.2833333,24.25,1
81,4/30/2016,NPF,16.94583333,55.75,1005.541667,313.8958333,25.16666667,1.388888889
82,5/1/2016,NPF,19.1625,47.16666667,1006.533333,319.675,18.08333333,1.058823529
83,5/2/2016,Non,18.99166667,77.875,1004.4625,175.6958333,16.65217391,1
84,5/3/2016,Non,15.84583333,85.625,992.3791667,72.6875,8.333333333,1
85,5/4/2016,NPF,16.54583333,63.95833333,1000.541667,328.2416667,28.75,3.583333333
86,5/5/2016,NPF,18.2,63.45833333,1006.104167,265.1583333,26,1.047619048
87,5/6/2016,NPF,20.24166667,81.58333333,999.5583333,206.5916667,8.583333333,1
88,5/7/2016,NPF,17.26666667,46.125,1006.191667,267.9416667,29.25,1
89,5/8/2016,NPF,18.80833333,44.375,1007.416667,237.9625,14.41666667,2.6875
90,5/9/2016,Non,17.275,68.25,1002.754167,75.58333333,21.86956522,1.333333333
91,5/10/2016,Non,14.6125,98.66666667,996.6125,48.95833333,17.16666667,1
92,5/11/2016,Non,17.2375,76.66666667,1001.245833,278.1291667,9.625,1
93,5/12/2016,NPF,18.93333333,71.95833333,1005.5375,344.45,14.08333333,1
94,5/13/2016,Non,18.14166667,72.95833333,1011.066667,235.7708333,18.375,1.714285714
95,5/14/2016,Non,20.05416667,61.25,1012.825,325.5833333,23.5,1.416666667
96,5/15/2016,Non,19.4875,79.83333333,1003.504167,183.7875,15.375,1
97,5/16/2016,NPF,15.60833333,61.58333333,1003.675,324.425,11.25,1.5
98,5/17/2016,NPF,19.05416667,58.125,1007.6375,349.0666667,21.83333333,1.25
99,5/18/2016,undefined,22.4125,55.625,1009.108333,334.8291667,27.86956522,2.071428571
100,6/2/2021,undefined,21.37916667,57.98333333,1009.883333,266.3333333,29.83928571,3.458333333
101,6/3/2021,Non,17.71666667,90.13333333,1002.0375,53.20833333,10.90798611,2.3125
102,6/4/2021,NPF,17.71666667,70.6625,1000.616667,328.7916667,10.02708333,2.375
103,6/5/2021,Non,19.15833333,73.25416667,999.8541667,290.9583333,42.06076389,2.583333333
104,6/6/2021,Non,20.47083333,73.1,1004.083333,245.8333333,24.87986111,2.333333333
105,6/7/2021,Non,21.03333333,63.51666667,1010.525,255.75,35.71388889,2.229166667
106,6/8/2021,Non,22.3375,65.675,1011.958333,300.2083333,39.48645833,2.75
107,6/9/2021,NPF,23.725,66,1011.633333,308.5833333,43.10173611,2.916666667
108,6/10/2021,NPF,23.90416667,65.02083333,1008.5,171.0833333,42.53923611,3.25
109,6/11/2021,Non,21.80833333,85.39166667,1007.1625,227,5.042013889,2.375
110,6/12/2021,Non,21.6125,82.25416667,1008.620833,261.1666667,30.33055556,2.104166667
111,6/13/2021,Non,20.62916667,84.44583333,1006.258333,184.125,22.28923611,2.020833333
112,6/14/2021,Non,21.67083333,81.60833333,1002.945833,175.4583333,16.71805556,1.979166667
113,6/15/2021,Non,20.325,87.025,1000.1875,74.875,19.93784722,2.0625
114,6/16/2021,NPF,22.6625,72.025,1000.316667,247.0833333,8.198263889,2
115,6/17/2021,Non,20.62916667,80.65,1003.108333,114.4166667,12.61493056,2.104166667
116,6/18/2021,Non,20.0375,91.97916667,999.7375,110.8333333,6.998958333,1.979166667
117,6/19/2021,Non,21.47083333,73.5875,998.8583333,306.1666667,21.97118056,2
118,6/20/2021,Non,22.32083333,62.475,999,323.0416667,22.0375,2.1875
119,6/21/2021,NPF,21.8125,67.7875,1001.895833,331.5833333,27.54769571,2.375
120,6/22/2021,Non,21.34166667,69.72083333,1005.408333,181.25,20.85173611,2.375
121,6/23/2021,Non,20.625,83.35,1007.083333,247,31.49513889,2.104166667
122,6/24/2021,Non,20.78333333,82.21666667,1008.395833,205.7916667,26.64166667,1.958333333
123,6/25/2021,Non,22.13333333,77.92916667,1007.9875,294.7916667,14.07222222,2.041666667
124,6/26/2021,NPF,22.21666667,76.17083333,1007.1375,256.9583333,8.225347222,2.0625
125,6/27/2021,Non,22.9625,73.5375,1004.320833,291.7083333,18.63333333,2.604166667
126,6/28/2021,undefined,22.83333333,76.96666667,1001.983333,209.2916667,34.52001134,2.5625
127,6/29/2021,undefined,22.575,78.69166667,1002.8,272.6666667,23.88854167,2.104166667
128,6/30/2021,undefined,22.7625,77.27916667,1003.991667,255.0416667,19.06909722,2.270833333
129,7/1/2021,undefined,23.93333333,76.35,1003.454167,271.4583333,36.45763889,2.604166667
130,7/2/2021,undefined,24.86666667,76.7,1005.008333,243.5,57.40555556,2.25
131,7/3/2021,undefined,23.36666667,84.80416667,1002.345833,81.29166667,13.45868056,1.916666667
132,7/4/2021,undefined,22.57916667,89.0375,1002.679167,108.4166667,2.779513889,1.708333333
133,7/5/2021,Non,20.87083333,92.2875,1007.016667,68.16666667,6.4125,1.8125
134,7/6/2021,Non,21.74583333,97,1004.379167,50.41666667,4.617361111,1.791666667
135,7/7/2021,Non,23.3875,97.37083333,1004.508333,94,3.962847222,1.979166667
136,7/8/2021,Non,23.30833333,93.99583333,1002.854167,124.5,4.070833333,1.916666667
137,7/9/2021,NPF,23.91666667,89.2375,1002.754167,258,3.982638889,1.854166667
138,7/10/2021,Non,24.92083333,86.3125,1004.979167,262.4583333,17.41284722,1.958333333
139,7/11/2021,Non,25.09166667,85.4125,1007.154167,185.75,9.824305555,1.895833333
140,7/12/2021,Non,26.18333333,84.8875,1007.025,241.875,11.34583333,1.958333333
141,7/13/2021,NPF,26.70416667,79.93333333,1006.6,254.7083333,3.313194444,1.875
142,7/14/2021,NPF,26.825,81.13333333,1008.775,202.3333333,1.818402778,1.791666667
143,7/15/2021,NPF,26.7375,79.25,1011.075,305.5,1.541319444,2
144,7/16/2021,Non,25.675,84.15833333,1011.291667,237.875,4.553472222,1.895833333
145,7/17/2021,Non,25.0875,82.2625,1008.55,265.125,5.453819444,1.958333333
